47131 :Obion, Tennessee
6021 :Glenn, California
31157 :Scotts Bluff, Nebraska
28015 :Carroll, Mississippi
31159 :Seward, Nebraska
50011 :Franklin, Vermont
28017 :Chickasaw, Mississippi
6023 :Humboldt, California
50013 :Grand Isle, Vermont
28019 :Choctaw, Mississippi
31161 :Sheridan, Nebraska
6025 :Imperial, California
6027 :Inyo, California
50015 :Lamoille, Vermont
31163 :Sherman, Nebraska
28021 :Claiborne, Mississippi
28023 :Clarke, Mississippi
31165 :Sioux, Nebraska
50017 :Orange, Vermont
6029 :Kern, California
50019 :Orleans, Vermont
6031 :Kings, California
31167 :Stanton, Nebraska
28025 :Clay, Mississippi
50021 :Rutland, Vermont
6033 :Lake, California
31169 :Thayer, Nebraska
28027 :Coahoma, Mississippi
31171 :Thomas, Nebraska
6035 :Lassen, California
50023 :Washington, Vermont
28029 :Copiah, Mississippi
6037 :Los Angeles, California
50025 :Windham, Vermont
31173 :Thurston, Nebraska
28031 :Covington, Mississippi
50027 :Windsor, Vermont
6039 :Madera, California
31175 :Valley, Nebraska
28033 :De Soto, Mississippi
28035 :Forrest, Mississippi
31177 :Washington, Nebraska
6041 :Marin, California
31179 :Wayne, Nebraska
6043 :Mariposa, California
28037 :Franklin, Mississippi
31181 :Webster, Nebraska
6045 :Mendocino, California
28039 :George, Mississippi
31183 :Wheeler, Nebraska
28041 :Greene, Mississippi
6047 :Merced, California
6049 :Modoc, California
28043 :Grenada, Mississippi
31185 :York, Nebraska
28045 :Hancock, Mississippi
6051 :Mono, California
28047 :Harrison, Mississippi
6053 :Monterey, California
28049 :Hinds, Mississippi
6055 :Napa, California
28051 :Holmes, Mississippi
6057 :Nevada, California
28053 :Humphreys, Mississippi
6059 :Orange, California
28055 :Issaquena, Mississippi
6061 :Placer, California
6063 :Plumas, California
28057 :Itawamba, Mississippi
28059 :Jackson, Mississippi
6065 :Riverside, California
28061 :Jasper, Mississippi
6067 :Sacramento, California
28063 :Jefferson, Mississippi
6069 :San Benito, California
28065 :Jefferson Davis, Mississippi
6071 :San Bernardino, California
6073 :San Diego, California
28067 :Jones, Mississippi
6075 :San Francisco, California
28069 :Kemper, Mississippi
6077 :San Joaquin, California
28071 :Lafayette, Mississippi
6079 :San Luis Obispo, California
28073 :Lamar, Mississippi
6081 :San Mateo, California
28075 :Lauderdale, Mississippi
28077 :Lawrence, Mississippi
6083 :Santa Barbara, California
28079 :Leake, Mississippi
6085 :Santa Clara, California
28081 :Lee, Mississippi
6087 :Santa Cruz, California
6089 :Shasta, California
28083 :Leflore, Mississippi
6091 :Sierra, California
28085 :Lincoln, Mississippi
28087 :Lowndes, Mississippi
6093 :Siskiyou, California
28089 :Madison, Mississippi
6095 :Solano, California
28091 :Marion, Mississippi
6097 :Sonoma, California
6099 :Stanislaus, California
28093 :Marshall, Mississippi
6101 :Sutter, California
28095 :Monroe, Mississippi
6103 :Tehama, California
28097 :Montgomery, Mississippi
6105 :Trinity, California
28099 :Neshoba, Mississippi
28101 :Newton, Mississippi
6107 :Tulare, California
28103 :Noxubee, Mississippi
6109 :Tuolumne, California
6111 :Ventura, California
28105 :Oktibbeha, Mississippi
28107 :Panola, Mississippi
6113 :Yolo, California
6115 :Yuba, California
28109 :Pearl River, Mississippi
28111 :Perry, Mississippi
28113 :Pike, Mississippi
28115 :Pontotoc, Mississippi
28117 :Prentiss, Mississippi
28119 :Quitman, Mississippi
28121 :Rankin, Mississippi
28123 :Scott, Mississippi
28125 :Sharkey, Mississippi
28127 :Simpson, Mississippi
28129 :Smith, Mississippi
28131 :Stone, Mississippi
28133 :Sunflower, Mississippi
28135 :Tallahatchie, Mississippi
28137 :Tate, Mississippi
28139 :Tippah, Mississippi
28141 :Tishomingo, Mississippi
28143 :Tunica, Mississippi
25001 :Barnstable, Massachusetts
25003 :Berkshire, Massachusetts
28145 :Union, Mississippi
25005 :Bristol, Massachusetts
28147 :Walthall, Mississippi
47001 :Anderson, Tennessee
25007 :Dukes, Massachusetts
28149 :Warren, Mississippi
25009 :Essex, Massachusetts
47003 :Bedford, Tennessee
28151 :Washington, Mississippi
25011 :Franklin, Massachusetts
28153 :Wayne, Mississippi
47005 :Benton, Tennessee
47007 :Bledsoe, Tennessee
28155 :Webster, Mississippi
25013 :Hampden, Massachusetts
28157 :Wilkinson, Mississippi
25015 :Hampshire, Massachusetts
47009 :Blount, Tennessee
47011 :Bradley, Tennessee
25017 :Middlesex, Massachusetts
28159 :Winston, Mississippi
25019 :Nantucket, Massachusetts
28161 :Yalobusha, Mississippi
47013 :Campbell, Tennessee
28163 :Yazoo, Mississippi
25021 :Norfolk, Massachusetts
47015 :Cannon, Tennessee
25023 :Plymouth, Massachusetts
47017 :Carroll, Tennessee
25025 :Suffolk, Massachusetts
47019 :Carter, Tennessee
47021 :Cheatham, Tennessee
25027 :Worcester, Massachusetts
47023 :Chester, Tennessee
47025 :Claiborne, Tennessee
47027 :Clay, Tennessee
47029 :Cocke, Tennessee
47031 :Coffee, Tennessee
47033 :Crockett, Tennessee
47035 :Cumberland, Tennessee
47037 :Davidson, Tennessee
47039 :Decatur, Tennessee
47041 :Dekalb, Tennessee
47043 :Dickson, Tennessee
47045 :Dyer, Tennessee
47047 :Fayette, Tennessee
47049 :Fentress, Tennessee
47051 :Franklin, Tennessee
47053 :Gibson, Tennessee
47055 :Giles, Tennessee
47057 :Grainger, Tennessee
47059 :Greene, Tennessee
47061 :Grundy, Tennessee
47063 :Hamblen, Tennessee
47065 :Hamilton, Tennessee
47067 :Hancock, Tennessee
47069 :Hardeman, Tennessee
47071 :Hardin, Tennessee
47073 :Hawkins, Tennessee
47075 :Haywood, Tennessee
47077 :Henderson, Tennessee
47079 :Henry, Tennessee
47081 :Hickman, Tennessee
47083 :Houston, Tennessee
47085 :Humphreys, Tennessee
47087 :Jackson, Tennessee
47089 :Jefferson, Tennessee
47091 :Johnson, Tennessee
47093 :Knox, Tennessee
47095 :Lake, Tennessee
47097 :Lauderdale, Tennessee
47099 :Lawrence, Tennessee
47101 :Lewis, Tennessee
47103 :Lincoln, Tennessee
47105 :Loudon, Tennessee
47107 :McMinn, Tennessee
47109 :McNairy, Tennessee
47111 :Macon, Tennessee
47113 :Madison, Tennessee
47115 :Marion, Tennessee
47117 :Marshall, Tennessee
47119 :Maury, Tennessee
47121 :Meigs, Tennessee
47123 :Monroe, Tennessee
47125 :Montgomery, Tennessee
47127 :Moore, Tennessee
47129 :Morgan, Tennessee
